Deal ID,Companies,Company ID,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO (at time of deal),CEO PBId,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Add-on,Debts,Total New Debt,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded,Company Website
180799-12T,Agara,268352-20,"Developer of a speech and text to automate customer support technology designed to offer an end-to-end system of engagement for large enterprises. The company's software is a fully autonomous phone support agent which can directly field calls with customers and handle their problems just the way a human agent would, thereby enabling enterprises to handle customer queries and feedback effectively.",Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","Artificial Intelligence & Machine Learning, Big Data, SaaS","artificial intelligence, automated customer response, customer support agent, customer support automation, customer support tool, voice automation",Formerly VC-backed,Generating Revenue,Venture Capital,Abhimanyu Singh,211806-73P,7,180799-12T,,01-Feb-2021,3.54,Actual,,,,,11.29,4th Round,,,Series A,Early Stage VC,Series A,,Venture Capital,3.54,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,4,1,3,US Dollars (USD),"Walnut, CA",Americas,North America,Walnut,California,91789,United States,2017,www.agara.ai
166439-26T,Evercast,442860-31,"Developer of video-conferencing software designed to combine video conferencing and HD live streaming in one web-based platform. The company's software offers features such as live streaming, pre-production management, visual effects, music composition, real-time feedbacks, idea management, and screen sharing, enabling users to video chat with their team while securely streaming any creative workflow.",Information Technology,Software,Communication Software,"Communication Software*, Internet Software",SaaS,"collaboration platform, ideas management, remote collaboration, video conferencing service, video conferencing software, video conferencing technology, virtual communication tool",Venture Capital-Backed,Generating Revenue,Venture Capital,Alex Cyrell,244219-60P,2,166439-26T,05-Feb-2021,26-Feb-2021,3.54,Actual,,,,,6.37,1st Round,,,Series A,Later Stage VC,Series A,,Venture Capital,3.54,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Scottsdale, AZ",Americas,North America,Scottsdale,Arizona,85258,United States,2015,www.evercast.us
186575-05T,Flume,177603-58,"Developer of a home water monitoring sensor device designed to view and protect water usage across the entire property anytime and anywhere. The company's device specializes in monitoring the plumbing system virtually, provides real-time usage data, identifies abnormal water usage by sending notifications immediately when an issue is detected, and facilitates plumber deployment, thereby enabling users to understand how to use water by liberating and digitizing the data behind it.",Consumer Products and Services (B2C),Consumer Durables,Electronics (B2C),"Application Software, Electronic Equipment and Instruments, Electronics (B2C)*","Internet of Things, TMT","water conservation system, water management application, water sensor, water sensor system, water system, water system service",Venture Capital-Backed,Generating Revenue,Venture Capital,Eric Adler,174215-53P,4,186575-05T,,23-Dec-2021,3.54,Actual,,,,,11.58,3rd Round,,,Series A2,Later Stage VC,Series A2,,Venture Capital,3.54,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"San Luis Obispo, CA",Americas,North America,San Luis Obispo,California,93401,United States,2015,www.flumewater.com
185133-34T,StatHero,439057-54,"Operator of a fantasy sports platform intended to combine fantasy sports and survivor pools. The company's platform leverages technology to allow users to compete against other users, enabling customers to win and earn money.",Information Technology,Software,Entertainment Software,Entertainment Software*,,"fantasy sports, fantasy sports application, fantasy sports gaming, fantasy sports platform, fantasy sports soccer, sports gaming",Venture Capital-Backed,Generating Revenue,Venture Capital,Jason Jaramillo,240666-13P,2,185133-34T,,15-Dec-2021,3.54,Actual,29.22,32.76,Actual,10.81 %,5.23,2nd Round,Up Round,1.98,Series A,Early Stage VC,Series A,,Venture Capital,3.54,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,,1,US Dollars (USD),"Scottsdale, AZ",Americas,North America,Scottsdale,Arizona,85255,United States,2018,www.stathero.com
179722-27T,TopCourt,327542-32,"Developer of a sports streaming platform intended to provide online tennis instructions in a storytelling format. The company's platform provides drills, stories, behind the scene events and instructional videos of top tennis pros to make it possible for tennis fans to look into the life, mind, and performance of their favorite players, enabling users to learn from and be inspired from the iconic tennis players.",Information Technology,Software,Educational Software,"Application Software, Educational Software*, Information Services (B2C)","EdTech, Mobile","e-learning technology, instructional videos content, online tennis platform, tennis coaching, tennis merchandise, tennis online instruction",Venture Capital-Backed,Generating Revenue,Venture Capital,Taylor Meyer,209557-36P,4,179722-27T,,31-Dec-2021,3.54,Actual,,,,,5.09,4th Round,,,Series A,Early Stage VC,Series A,,Venture Capital,3.54,No,,,,,Completed,Generating Revenue,Pending Transaction (VC),,,,,US Dollars (USD),"Durham, NC",Americas,North America,Durham,North Carolina,27701,United States,2019,www.topcourt.com
169021-72T,Clientbook,436241-71,"Developer of a retail clienteling software designed to modernize relationship-based selling in retail. The company's software offers a holistic view of customers, a personalized touchpoint for sales teams, and a dashboard to keep notes, reminders, and client actions in one place, enabling retailers to gain visibility and control over the customer experience and improve sales conversion rates, and boost sales.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)",SaaS,"clienteling activities, clienteling software, messaging solution, mobile crm solutions, mobile crm technology, retail sales, sales associate software",Venture Capital-Backed,Generating Revenue,Venture Capital,Brandon Wright,233017-30P,3,169021-72T,29-May-2020,08-Jul-2021,3.58,Actual,14.22,17.80,Actual,20.11 %,5.79,3rd Round,Down Round,0.58,Series A,Early Stage VC,Series A,,Venture Capital,3.58,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,1,2,US Dollars (USD),"Lehi, UT",Americas,North America,Lehi,Utah,84043,United States,2017,www.clientbook.com
178199-56T,DeNexus,279635-14,"Developer of revolutionizing platform intended to offer cyber risk modeling for industrial networks. The company's platform quantifies real-time network and cyberthreat information into financial impact for the business and removes communication gaps between the tech team and the business team, enabling clients to get evidence-based data to predict where and how breaches are likely to occur in unique client contexts.",Information Technology,Software,Network Management Software,"Business/Productivity Software, Network Management Software*","Cybersecurity, SaaS","cyber risk control, cyber threat modeling, cyber threat technology, financial analysis software, financial impact analysis, financial risk analysis",Venture Capital-Backed,Generating Revenue,Venture Capital,Jose Seara,210083-50P,2,178199-56T,,01-Aug-2021,3.59,Actual,10.99,14.59,Actual,24.64 %,6.14,1st Round,,1.23,Series A1,Seed Round,Series A1,,Venture Capital,3.59,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,3,,US Dollars (USD),"Sausalito, CA",Americas,North America,Sausalito,California,94965,United States,2019,www.denexus.io
171800-02T,Ticket Evolution,54508-15,"Operator of a ticket exchange platform designed to connect sellers to fans, buyers to sellers, and everyone in between. The company's platform helps ticket brokers to manage and sell tickets in the secondary ticket industry, enabling brokers to clear off their inventories without having to deal with a supplier.",Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Media and Information Services (B2B)*","E-Commerce, SaaS, TMT","online ticketing, ticketing app, ticketing distribution, ticketing platform, ticketing service, ticketing tools",Venture Capital-Backed,Generating Revenue,Venture Capital,Stephen Parry,41379-04P,8,171800-02T,26-Apr-2021,05-May-2021,3.65,Actual,16.67,19.17,Actual,13.04 %,13.37,6th Round,Down Round,0.35,Series C,Later Stage VC,Series C,,Venture Capital,2.50,No,"Other - €1,15M",1.15,1.15,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10010,United States,2010,www.ticketevolution.com
173566-36T,Halla (Information Services),223373-53,"Developer of an online recommendation platform designed to offer personalized recommendations for each of a seller's individual shoppers. The company's platform combines food, data, and human science, layered with insights on operations research and trending events, thereby training highly specialized machine-learning models, enabling grocers to predict the personal preferences of their shoppers, all in real-time.",Consumer Products and Services (B2C),Media,Information Services (B2C),"Application Software, Information Services (B2C)*","Artificial Intelligence & Machine Learning, Big Data, FoodTech, Mobile, TMT","food delivery app, food delivery application, food information portal, food recommendation application, food recommendation platform, intelligence company",Venture Capital-Backed,Generating Revenue,Venture Capital,Spencer Price,176459-59P,6,173566-36T,,04-Jun-2021,3.71,Actual,,,,,7.30,4th Round,,,Series A1,Later Stage VC,Series A1,,Venture Capital,3.71,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,2,,2,US Dollars (USD),"Burbank, CA",Americas,North America,Burbank,California,91505,United States,2016,www.halla.io
169689-70T,Driven Data,168301-99,"Provider of customer data analytics intended to provide business intelligence for the automotive industry. The company's platform provides dealership metrics consolidated into one dashboard where historical and current inventory is synced to leverage customer data, unlock predictive insights and automate marketing campaigns with ease, enabling clients to make better data-based decisions for better customer loyalty.",Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Media and Information Services (B2B)*, Road","Marketing Tech, SaaS, TMT","automotive analysis, automotive data analytics, automotive data management, automotive information, customer data analysis, customer data integration, data dashboard, service reporting dashboard",Venture Capital-Backed,Generating Revenue,Venture Capital,Jonathan Berna,150925-78P,4,169689-70T,19-Mar-2021,29-Jun-2021,3.73,Actual,13.27,16.45,Actual,19.99 %,3.73,1st Round,,0.88,Series B,Seed Round,Series B,,Venture Capital,3.17,No,"Other - €0,56M",0.56,0.56,,Completed,Generating Revenue,Venture Capital-Backed,50,2,2,,US Dollars (USD),"Indianapolis, IN",Americas,North America,Indianapolis,Indiana,46236,United States,2013,www.driven-data.com
156806-38T,Plethora,105476-77,"Provider of manufacturing services intended to help companies scale efficiently. The company provides end to end production services using an in-house manufacturing system alongside computer-aided manufacturing software that turns customer designs into custom parts, enabling R&D engineers, product designers, startups, scientists, makers, and artists to get quality CNC machined parts at a low cost.",Business Products and Services (B2B),Commercial Products,Industrial Supplies and Parts,"Industrial Supplies and Parts*, Multimedia and Design Software, Other Commercial Services",SaaS,"cnc machining company, cnc machining device, cnc machining equipments, cnc machining services, cnc machining tool",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Jim Quinn,219352-24P,9,156806-38T,14-Sep-2020,14-Jan-2021,3.75,Actual,66.62,70.38,Actual,5.33 %,40.79,7th Round,Flat Round,1.03,Series B,Later Stage VC,Series B,,Venture Capital,3.75,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,2,1,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,California,94103,United States,2013,www.plethora.com
166341-25T,Zencastr,343756-27,"Developer of a web application designed to record remote interviews in studio quality. The company's application records voice locally in pristine quality with no dropouts or bad connection which can be inserted into introductions, advertisements and live audio, enabling users to save time during post-production.",Information Technology,Software,Business/Productivity Software,"Application Software, Business/Productivity Software*, Multimedia and Design Software",,"automatic post production, cloud drive integration, guests interface, live editing soundboard, podcast recording, redundant backup",Venture Capital-Backed,Generating Revenue,Venture Capital,Josh Nielsen,218188-09P,1,166341-25T,,21-Jan-2021,3.78,Actual,,,,,3.78,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,3.78,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,7,7,,US Dollars (USD),"Cottonwood Heights, UT",Americas,North America,Cottonwood Heights,Utah,84121,United States,2015,zencastr.com
179423-20T,Algorex Health Technologies,222720-49,"Developer of advanced healthcare analytics intended to measure social risk across patient and member populations. The company's services provide data science as a service, external and social determinants of health, notifies key life events and pathway variances to the right operational application, and engages to a health system, enabling patients to get help in the required areas through the design and implementation of impactful interventions.",Healthcare,Healthcare Technology Systems,Enterprise Systems (Healthcare),Enterprise Systems (Healthcare)*,"HealthTech, TMT","advances healthcare, data science, health analytics, health data science, healthcare analytics, healthcare analytics platform, predictive data modelling",Venture Capital-Backed,Generating Revenue,Venture Capital,Daniel Eklund,175585-33P,2,179423-20T,,21-Jul-2021,3.79,Actual,,,,,3.79,1st Round,,,Series B,Early Stage VC,Series B,,Venture Capital,3.79,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Boston, MA",Americas,North America,Boston,Massachusetts,2109,United States,2017,www.algorexhealth.com
184860-10T,Beeline Loans,435258-10,"Developer of a digital home loan lending platform intended to simplify the process of financing. The company uses both artificial intelligence and personal ""Loan Guides"" to cut down the timing during the home lending process, providing home-buyers and refinancers a solution for more transparency and ease.",Financial Services,Other Financial Services,Consumer Finance,"Consumer Finance*, Financial Software, Other Financial Services","Artificial Intelligence & Machine Learning, FinTech, Mortgage Tech, Real Estate Technology","home loan finance, home loan financing, home loan process, machine learning platform, mortgage, mortgage automation, mortgage lender, title insurance",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Nicholas Liuzza,123718-60P,4,184860-10T,,09-Dec-2021,3.79,Estimated,,,,,19.39,3rd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,3.79,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,4,4,,US Dollars (USD),"Providence, RI",Americas,North America,Providence,Rhode Island,2909,United States,2019,www.makeabeeline.com
177052-24T,TurnoverBnB,277226-65,"Operator of a cleaning platform intended to facilitate hosts to find local cleaners for their short-term rental cleaning. The company's platform assists users to connect with their existing rental calendars to automatically schedule their cleaners via SMS and email, enabling users to hire and pay housekeepers conveniently.",Consumer Products and Services (B2C),Media,Information Services (B2C),"Application Software, Information Services (B2C)*","Mobile, SaaS","cleaning service, cleaning services, finding local cleaners, house cleaning, short term rental, vacation rental cleaning",Venture Capital-Backed,Generating Revenue,Venture Capital,Assaf Karmon,120462-58P,2,177052-24T,,21-Jul-2021,3.79,Actual,16.86,20.66,Actual,26.12 %,3.81,1st Round,,1.94,Series A,Later Stage VC,Series A,,Venture Capital,3.79,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,2,1,US Dollars (USD),"Honolulu, HI",Americas,North America,Honolulu,Hawaii,96813,United States,2016,www.turnoverbnb.com
138495-97T,Gravy (Financial Software),233267-86,"Provider of virtual payment recovery services intended to focus on recovering subscription and payment plans for its clients. The company's services include resolving payment issues regarding recurring payment plans through an automation system, enabling customers to increase their lifetime value and get help in recovering virtual payments.",Information Technology,Software,Financial Software,"Financial Software*, Other Financial Services",FinTech,"financial services, payment planning, recovery services, subscription billing, virtual payment, virtual payment recovery",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Casey Graham,194169-79P,3,138495-97T,,17-Feb-2021,3.80,Actual,,,,,0.89,2nd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,,No,Bridge (Convertible),,,,Completed,Generating Revenue,Venture Capital-Backed,83,1,1,,US Dollars (USD),"Alpharetta, GA",Americas,North America,Alpharetta,Georgia,30009,United States,2017,www.gravysolutions.io
171776-80T,Wysa,130613-41,"Operator of a mental health wellness platform designed to manage stress from social isolation and health anxiety behavior of employees and patients. The company's platform offers an AI chatbot that leverages evidence-based cognitive-behavioral techniques to suggest medical guidance, digital self-help techniques, and escalation into custom care pathways for human support through counselors and therapists, enabling patients to receive proactive, personalized behavioral health support on their phones from professional caregivers or coaches.",Healthcare,Healthcare Services,Other Healthcare Services,"Application Software, Other Healthcare Services*, Other Healthcare Technology Systems","Artificial Intelligence & Machine Learning, Digital Health, HealthTech, LOHAS & Wellness, Mobile, TMT","artificial intelligence platform, artificial intelligence technology, behavioral health services, behavioral healthcare, digital health, employee benefit and wellness, healthcare application, healthcare service firm, mental health, mental health app, mental health chatbot, mental health tech, therapy app",Pending Transaction (VC),Generating Revenue,Venture Capital,Jyotsana Aggarwal,150337-27P,9,171776-80T,07-May-2021,07-May-2021,3.80,Actual,,,,,7.94,5th Round,,0.12,Series A3,Later Stage VC,Series A3,,Venture Capital,,No,,,,,Announced/In Progress,Generating Revenue,Pending Transaction (VC),,5,,2,India Rupees (INR),"Boston, MA",Americas,North America,Boston,Massachusetts,2116,United States,2015,www.wysa.io
168570-10T,alwaysAI,264713-77,"Developer of a computer vision development platform designed to give intelligent sight to embedded and loT devices. The company's platform assists users to deploy deep learning computer vision applications on cameras, drones, wearables, robots and transportation units, enabling developers to quickly build and enable device functions like object detection, classification, tracking, counting and facial recognition.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Software Development Applications","Artificial Intelligence & Machine Learning, Big Data, Internet of Things, Robotics and Drones","computer vision application, computer vision tools, computer visioning, deep learning tool, edge devices",Venture Capital-Backed,Generating Revenue,Venture Capital,Marty Beard,60142-60P,2,168570-10T,,16-Mar-2021,3.82,Actual,13.13,16.95,Actual,22.55 %,7.32,2nd Round,Up Round,1.39,Series A1,Early Stage VC,Series A1,,Venture Capital,3.82,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Cardiff, CA",Americas,North America,Cardiff,California,92007,United States,2018,www.alwaysai.co
180159-67T,Artory,231810-76,"Developer of an art registry platform intended to record significant events in the life cycle of artworks and collectibles. The company's platform utilizes blockchain technology to offer a secure registry of verified information about artworks, collectibles, and their history, enabling clients to prove ownership while maintaining that their identity is not stored in the registry.",Consumer Products and Services (B2C),Media,Information Services (B2C),"Application Software, Information Services (B2C)*, Media and Information Services (B2B)",SaaS,"art market, art registry platform, art technology, artform platform, digital art network, registry track",Venture Capital-Backed,Generating Revenue,Venture Capital,Nanne Dekking,191246-50P,2,180159-67T,,15-Sep-2021,3.82,Actual,21.20,25.02,Actual,16.65 %,13.95,2nd Round,Down Round,1.28,Series A1,Later Stage VC,Series A1,,Venture Capital,3.82,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,4,3,1,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10003,United States,2016,www.artory.com
181852-84T,Artist Growth,56344-42,"Developer of a professional management software platform built for musicians and their support staff. The company's platform offers management tools to track daily business tasks and coordinate team projects, schedule and organize tours at a single interface all in one place, enabling clients to boost productivity and efficiency by integrating finances, calendars, inventory, social media and performing rights.",Information Technology,Software,Business/Productivity Software,"Application Software, Business/Productivity Software*, Financial Software, Media and Information Services (B2B)","SaaS, TMT","artist management, business platform, business tasks, event management, mobile technology, music artist development, process structure, streamline action",Venture Capital-Backed,Generating Revenue,Venture Capital,Matt Urmy,47800-90P,7,181852-84T,06-Oct-2021,06-Oct-2021,3.84,Actual,,,,,6.19,4th Round,,,Series A,Later Stage VC,Series A,,Venture Capital,3.84,No,,,,,Announced/In Progress,Generating Revenue,Pending Transaction (VC),,1,,,US Dollars (USD),"Nashville, TN",Americas,North America,Nashville,Tennessee,37206,United States,2011,www.artistgrowth.com
166727-62T,Senseware,92236-69,"Developer of a smart building platform designed for facility managers to monitor, manage and control any construction site. The company's platform provides a modular plug-and-play wireless sensor-based system that communicates buildings and cities' physical assets' data on a real-time basis to help promote energy efficiency and sustainability, enabling clients to collect sensor data for wireless transmission to display real-time data, analytics and alerts.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Electronic Equipment and Instruments","Artificial Intelligence & Machine Learning, Big Data, Internet of Things, SaaS, TMT","building automation, industrial building market, sensory system, wireless sensor, wireless sensor network, wireless sensor technology",Venture Capital-Backed,Generating Revenue,Venture Capital,Serene AlMomen,100978-12P,5,166727-62T,,11-Feb-2021,3.88,Actual,17.35,21.23,Actual,18.29 %,6.70,3rd Round,Up Round,0.79,Series A,Later Stage VC,Series A,,Venture Capital,3.88,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,2,2,,US Dollars (USD),"Vienna, VA",Americas,North America,Vienna,Virginia,22182,United States,2013,www.senseware.co
177281-65T,eNow,155653-66,"Developer of mobile solar systems intended to capture and convert the sun's energy into useable power for commercial transportation. The company's proprietary, patent-pending no-idle charging solar systems economically convert, store and distribute electricity, powering applications such as lift gates, in-cab HVAC, refrigeration, telematics and hotel loads like appliances and lighting, enabling truck operators to reduce operating costs and greenhouse gas emissions easily.",Energy,Energy Equipment,Alternative Energy Equipment,"Alternative Energy Equipment*, Business/Productivity Software, Other Transportation","CleanTech, Mobility Tech, Oil & Gas, Supply Chain Tech","energy management system, mobile solar generator, mobile solar technology, solar energy equipment, solar energy generator, solar energy management, solar energy platform, truck mounted system",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Jeffrey Flath,130922-65P,8,177281-65T,,26-Jul-2021,3.90,Actual,12.67,16.57,Actual,23.53 %,10.73,5th Round,Up Round,2.31,Series A,Later Stage VC,Series A,,Venture Capital,3.90,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Warwick, RI",Americas,North America,Warwick,Rhode Island,2886,United States,2011,www.enowenergy.com
164884-87T,Warehouse Exchange,265244-41,"Developer of warehouse management platform designed to manage and optimize warehouse usage and its facilities. The company's platform allows users to configure facilities, publishing space, manage availability and pricing over time, grants access to a digital network to search for space using a proprietary matching algorithm to curate and rank results based on needs, thereby enabling warehouse operators to rent out their space and services securely and easily.",Business Products and Services (B2B),Commercial Services,Logistics,"Business/Productivity Software, Information Services (B2C), Logistics*",Supply Chain Tech,"supply chain tech, warehouse management, warehouse management platform, warehouse management service, warehouse management software, warehouse management tool",Venture Capital-Backed,Generating Revenue,Venture Capital,Grant Langston,141182-65P,1,164884-87T,06-Jan-2021,12-Jan-2021,3.90,Actual,6.56,10.46,Actual,37.29 %,3.90,1st Round,,0.36,Series A,Early Stage VC,Series A,,Venture Capital,3.90,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Los Angeles, CA",Americas,North America,Los Angeles,California,90064,United States,2017,www.warehouseexchange.com
177914-17T,G.Round,469487-08,"Developer of a community game testing platform intended to help game developers gather feedback from the players to improve and polish their games to provide an ultimate gaming experience. The company's platform carefully selects a limited amount of games every week for the community to play and test and helps to improve the games, enabling developers to test their product and make changes to make it better.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Entertainment Software",Gaming,"game analytics, game developing, game marketing, game reviews, mobile games",Venture Capital-Backed,Generating Revenue,Venture Capital,Rick Nahm,267849-73P,2,177914-17T,,23-Jun-2021,3.91,Actual,25.82,29.73,Actual,13.13 %,5.81,2nd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,3.91,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,32,5,5,,US Dollars (USD),"Los Angeles, CA",Americas,North America,Los Angeles,California,90010,United States,2019,www.gameround.co
118172-17T,Linqto,137014-03,"Developer of an investment platform intended to identify, evaluate, invest and trade securities in the leading unicorns around the globe. The company's offerings include simple, inexpensive, and quick access to private securities markets by providing a liquid investing environment, enabling founders, VCs and employees to realize early returns and liquidity without waiting for an IPO or trade sale.",Information Technology,Software,Financial Software,"Application Software, Financial Software*, Other Financial Services","FinTech, Mobile, SaaS, TMT","accredited investors, collaboration software, financial application, investment application, special purpose investment vehicle, vc investment",Venture Capital-Backed,Generating Revenue,Venture Capital,Bill Sarris,138138-04P,3,118172-17T,,01-Jun-2021,3.92,Estimated,19.75,23.68,Actual,16.70 %,5.68,3rd Round,Up Round,0.36,Series A,Later Stage VC,Series A,,Venture Capital,3.92,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,6,5,1,US Dollars (USD),"Pebble Beach, CA",Americas,North America,Pebble Beach,California,93953,United States,2005,www.linqto.com
170820-19T,Humanyze,109321-75,"Developer of a workplace analytics platform designed to drive continuous improvements that benefit business and its people. The company's platform connects existing corporate data to actionable metrics, indicators, algorithms and delivers continuous, data-driven workplace insights that help business leaders detect and improve how work gets done, enabling companies to drive business outcomes by informing management, HR, and workplace decisions with speed and certainty.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","Big Data, HR Tech, Industrials, SaaS, TMT","analytics sensors, behavioral analytics platform, communication pattern, people analytics software, sociometric analysis",Venture Capital-Backed,Generating Revenue,Venture Capital,Ellen Nussbaum,87952-78P,5,170820-19T,,26-Mar-2021,3.93,Actual,107.28,111.21,Actual,32.33 %,8.94,4th Round,Up Round,5.13,Series B,Later Stage VC,Series B,,Venture Capital,3.93,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Boston, MA",Americas,North America,Boston,Massachusetts,2114,United States,2011,www.humanyze.com
177149-80T,"Grab (Other Restaurants, Hotels and Leisure)",226220-41,"Operator of a self-service platform designed to help airport travellers to order food on the go. The company's platform helps to choose from a variety of food from popular restaurants and also allows to add into the favourite food section of the application, enabling travellers to enjoy their food while they wait at the airport.",Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure","Application Software, Information Services (B2C), Other Restaurants, Hotels and Leisure*","FoodTech, Mobile, TMT","airport marketplace, food application, food ordering, food ordering application, food ordering platform, online food ordering, self service platform",Venture Capital-Backed,Generating Revenue,Venture Capital,Mark Bergsrud,180537-49P,2,177149-80T,21-Jul-2021,23-Jul-2021,3.94,Actual,13.32,17.26,Actual,22.81 %,12.69,2nd Round,Flat Round,3.41,Series A,Later Stage VC,Series A,,Venture Capital,3.94,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Houston, TX",Americas,North America,Houston,Texas,77003,United States,2014,www.getgrab.com
181567-36T,Tsecond (Business/Productivity Software),482342-05,"Provider of technologies intended to reimagine how enterprises and organizations activate big data. The company is working to accelerate the value of the global datasphere by addressing the complexities of mass data generation by focusing on the speed, efficiency, security of data collection, enabling big data to be processed, analyzed, and actioned faster than ever before",Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,Big Data,"big data, big data analysis, big data platform, big data processing, data capture platform, nanotechnology firm",Venture Capital-Backed,Generating Revenue,Venture Capital,Sahil Chawla,247377-34P,1,181567-36T,,11-Oct-2021,3.94,Actual,18.83,22.77,Actual,17.29 %,3.94,1st Round,,2.12,Series A,Early Stage VC,Series A,,Venture Capital,3.94,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,8,8,,US Dollars (USD),"San Jose, CA",Americas,North America,San Jose,California,,United States,2020,www.tsecond.us
187948-45T,Building Intelligence,228119-41,"Developer of a facility management system designed to offer applications and tools that simplify the exchange of products, services, and information. The company's system processes the entry of vehicles, visitors, and vendors to access control beyond traditional electronic security to help in managing lobbies, loading docks, and other entry points, enabling security officers, concierges, and building staff to pre-register guests online and store a photographic contact log and seamlessly integrate all aspects of security to transform a complex, dangerous situation into a secure and efficient operation.",Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"Industrials, Mobile, SaaS, TMT","access control, building access management, facility management, security networking, security software, vehicle access",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Jeffrey Friedman,184557-16P,4,187948-45T,,20-Oct-2021,3.96,Actual,21.51,25.46,Actual,15.54 %,9.15,3rd Round,Up Round,1.04,Series A1,Later Stage VC,Series A1,,Venture Capital,3.96,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10017,United States,2006,www.buildingintelligence.com
181330-57T,Sightly,51429-07,"Developer of a video campaign analyzing platform designed to maximize the reach and effectiveness of video advertising. The company's platform offers software tools for audience targeting, campaign workflow, advertisement personalization, campaign automation, and intelligent optimization engine, enabling clients to ensure fraud protection that helps them to reach their precise audience, as well as customers outside their current target.",Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*, Media and Information Services (B2B)","AdTech, Marketing Tech, TMT","advertisement personalization, advertising video, audience targeting, campaign automation, mobile advertising, video advertising platform",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Ralph Mack,49644-46P,10,181330-57T,,06-Oct-2021,3.98,Actual,,,,,,8th Round,,,Series A,Later Stage VC,Series A,,Venture Capital,3.98,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10011,United States,2006,www.sightly.com
